Title,URL
Network Engineer,https://www.brightermonday.co.ke/listings/network-engineer-d7eej5
Human Capital Solution Services (HCSS),/company/human-capital-solution-services
,/company/human-capital-solution-services
"Sales Attendant (MOMBASA-2 OPENINGS , NAIROBI-15 OPENINGS)",https://www.brightermonday.co.ke/listings/sales-attendant-mombasa-2-openings-nairobi-15-openings-20jjne
The Barista Limited,/jobs?q=The%20Barista%20Limited
T,/jobs?q=The%20Barista%20Limited
"Sales Representatives (Laptop and Laptop Parts Shipping) – Nairobi, Kenya",https://www.brightermonday.co.ke/listings/sales-representatives-laptop-and-laptop-parts-shipping-nairobi-kenya-pmddqv
Summit Recruitment & Search,/company/summit-recruitment-search
,/company/summit-recruitment-search
SALES EXECUTIVE,https://www.brightermonday.co.ke/listings/sales-executive-jq447e
BrighterMonday Consulting,/company/brightermonday-consulting
,/company/brightermonday-consulting
IT Specialist,https://www.brightermonday.co.ke/listings/it-specialist-k8rrvz
BrighterMonday Consulting,/company/brightermonday-consulting
,/company/brightermonday-consulting
Social Media Manager.,https://www.brightermonday.co.ke/listings/social-media-manager-gwqqjr
BrighterMonday Consulting,/company/brightermonday-consulting
,/company/brightermonday-consulting
HEAD OF SALES & DISTRIBUTION JOB VACANCY-ARUSHA,https://www.brightermonday.co.ke/listings/head-of-sales-distribution-job-vacancy-arusha-5d6657
Expert Consultancy Co. Ltd,/jobs?q=Expert%20Consultancy%20Co.%20Ltd
,/jobs?q=Expert%20Consultancy%20Co.%20Ltd
Book Keeper,https://www.brightermonday.co.ke/listings/book-keeper-6dxxm6
Trees for the Future,/jobs?q=Trees%20for%20the%20Future
,/jobs?q=Trees%20for%20the%20Future
Business Developer,https://www.brightermonday.co.ke/listings/business-developer-20jj58
Teacher - Math’s/Chem/English/literature,https://www.brightermonday.co.ke/listings/teacher-mathschemenglishliterature-84vvgj
Mukuru Promotion Centre,/jobs?q=Mukuru%20Promotion%20Centre
M,/jobs?q=Mukuru%20Promotion%20Centre
PHYSIOTHERAPIST,https://www.brightermonday.co.ke/listings/physiotherapist-wpeew4
Mukuru Promotion Centre,/jobs?q=Mukuru%20Promotion%20Centre
M,/jobs?q=Mukuru%20Promotion%20Centre
Information Systems Auditor,https://www.brightermonday.co.ke/listings/information-systems-auditor-07ggd6
Kenya Commerce Exchange Service Bureau (Kenex),/jobs?q=Kenya%20Commerce%20Exchange%20Service%20Bureau%20%28Kenex%29
K,/jobs?q=Kenya%20Commerce%20Exchange%20Service%20Bureau%20%28Kenex%29
Direct Sales Representative-Paper,https://www.brightermonday.co.ke/listings/direct-sales-representative-paper-9jmm5j
Corporate Staffing Services Ltd,/company/corporate-staffing
C,/company/corporate-staffing
Project Fundraising and Development Associate Department: Impact Projects Partnerships,https://www.brightermonday.co.ke/listings/project-fundraising-and-development-associate-department-impact-projects-partnerships-r8zzr5
The African Talent Company,/jobs?q=The%20African%20Talent%20Company
,/jobs?q=The%20African%20Talent%20Company
Pharmaceutical Technologist-Matuu Branch,https://www.brightermonday.co.ke/listings/pharmaceutical-technologist-matuu-branch-npgg99
Machakos Doctors' Plaza,/jobs?q=Machakos%20Doctors%27%20Plaza
M,/jobs?q=Machakos%20Doctors%27%20Plaza
Human Resource Officer,https://www.brightermonday.co.ke/listings/human-resource-officer-4n44np
BrighterMonday Consulting,/company/brightermonday-consulting
B,/company/brightermonday-consulting
POST-DOCTORAL RESEARCH SCIENTIST (Countdown to 2030),https://www.brightermonday.co.ke/listings/post-doctoral-research-scientist-countdown-to-2030-wpeepg
African Population and Health Research Center (APHRC),/jobs?q=African%20Population%20and%20Health%20Research%20Center%20%28APHRC%29
,/jobs?q=African%20Population%20and%20Health%20Research%20Center%20%28APHRC%29
RESEARCH OFFICER (Countdown to 2030),https://www.brightermonday.co.ke/listings/research-officer-countdown-to-2030-npggp9
African Population and Health Research Center (APHRC),/jobs?q=African%20Population%20and%20Health%20Research%20Center%20%28APHRC%29
,/jobs?q=African%20Population%20and%20Health%20Research%20Center%20%28APHRC%29
Head of Logistics and Warehouse,https://www.brightermonday.co.ke/listings/head-of-logistics-and-warehouse-9jmmjj
Summit Recruitment & Search,/company/summit-recruitment-search
,/company/summit-recruitment-search
Sales Representative,https://www.brightermonday.co.ke/listings/sales-representative-07gg7w
Summit Recruitment & Search,/company/summit-recruitment-search
,/company/summit-recruitment-search
Research Assistant,https://www.brightermonday.co.ke/listings/research-assistant-6dxxd7
Summit Recruitment & Search,/company/summit-recruitment-search
,/company/summit-recruitment-search
Finance Manager,https://www.brightermonday.co.ke/listings/finance-manager-evnnq6
"Adept Systems, Management Consultants",/jobs?q=Adept%20Systems%2C%20Management%20Consultants
,/jobs?q=Adept%20Systems%2C%20Management%20Consultants
Digital Marketer,https://www.brightermonday.co.ke/listings/digital-marketer-gwqq9k
Summit Recruitment & Search,/company/summit-recruitment-search
,/company/summit-recruitment-search
Stock Controller (fashion and design),https://www.brightermonday.co.ke/listings/stock-controller-fashion-and-design-mg55p9
Summit Recruitment & Search,/company/summit-recruitment-search
,/company/summit-recruitment-search
Sales Executive,https://www.brightermonday.co.ke/listings/sales-executive-xpjj2z
SafePay Solutions Ltd,/jobs?q=SafePay%20Solutions%20Ltd
,/jobs?q=SafePay%20Solutions%20Ltd
Marketing intern (2positions),https://www.brightermonday.co.ke/listings/marketing-intern-2positions-84vv59
Tich Kouma Community Based Organization,/jobs?q=Tich%20Kouma%20Community%20Based%20Organization
T,/jobs?q=Tich%20Kouma%20Community%20Based%20Organization
Aquaculture Technical Trainer,https://www.brightermonday.co.ke/listings/aquaculture-technical-trainer-q2447w
Tich Kouma Community Based Organization,/jobs?q=Tich%20Kouma%20Community%20Based%20Organization
T,/jobs?q=Tich%20Kouma%20Community%20Based%20Organization
Sales representative intern,https://www.brightermonday.co.ke/listings/sales-representative-intern-npggx9
KENZO CHICKEN FEEDS,/jobs?q=KENZO%20CHICKEN%20FEEDS
K,/jobs?q=KENZO%20CHICKEN%20FEEDS
Intern Gronomist,https://www.brightermonday.co.ke/listings/intern-gronomist-9jmm9j
KENZO CHICKEN FEEDS,/jobs?q=KENZO%20CHICKEN%20FEEDS
K,/jobs?q=KENZO%20CHICKEN%20FEEDS
Product Analyst,https://www.brightermonday.co.ke/listings/product-analyst-07ggww
BuyRentKenya,/jobs?q=BuyRentKenya
,/jobs?q=BuyRentKenya
ROUTE SALES MANAGER - TANZANIA,https://www.brightermonday.co.ke/listings/route-sales-manager-tanzania-vw44ep
Career Options Africa (Kenya),/jobs?q=Career%20Options%20Africa%20%28Kenya%29
,/jobs?q=Career%20Options%20Africa%20%28Kenya%29
REGIONAL SALES MANAGER – TANZANIA,https://www.brightermonday.co.ke/listings/regional-sales-manager-tanzania-7w8858
Career Options Africa (Kenya),/jobs?q=Career%20Options%20Africa%20%28Kenya%29
,/jobs?q=Career%20Options%20Africa%20%28Kenya%29
ROUTE SALES EXECUTIVE - TANZANIA,https://www.brightermonday.co.ke/listings/route-sales-executive-tanzania-zpvv4g
Career Options Africa (Kenya),/jobs?q=Career%20Options%20Africa%20%28Kenya%29
,/jobs?q=Career%20Options%20Africa%20%28Kenya%29
DRIVER,https://www.brightermonday.co.ke/listings/driver-5d664e
Career Options Africa (Kenya),/jobs?q=Career%20Options%20Africa%20%28Kenya%29
,/jobs?q=Career%20Options%20Africa%20%28Kenya%29
Real Estate Sales Executive - 30 Openings,https://www.brightermonday.co.ke/listings/real-estate-sales-executive-jq44jg
PAZURINA HOLDINGS INTERNATIONAL,/jobs?q=PAZURINA%20HOLDINGS%20INTERNATIONAL
P,/jobs?q=PAZURINA%20HOLDINGS%20INTERNATIONAL
Animal Feed Formulator - Shores of Lake Victoria Bondo Sub-County Siaya County,https://www.brightermonday.co.ke/listings/animal-feed-formulator-shores-of-lake-victoria-bondo-sub-county-siaya-county-k8rr5n
Great Lakes Feeds Limited,/jobs?q=Great%20Lakes%20Feeds%20Limited
G,/jobs?q=Great%20Lakes%20Feeds%20Limited
"Farm Supervisor - (for people from Bungoma county, Tongaren subcounty)",https://www.brightermonday.co.ke/listings/farm-supervisor-for-people-from-bungoma-county-tongaren-subcounty-84vvz9
Forkel Enterprises,/jobs?q=Forkel%20Enterprises
F,/jobs?q=Forkel%20Enterprises
Attachment - Malava Kakamega,https://www.brightermonday.co.ke/listings/attachment-malava-kakamega-npggd9
Labedcash Marine Enterprises Limited,/jobs?q=Labedcash%20Marine%20Enterprises%20Limited
L,/jobs?q=Labedcash%20Marine%20Enterprises%20Limited
